for_player,for_club,for_age,for_comp,for_time_norm,for_value_eur,for_contract_years_left,for_big_club,for_xG_per90,for_dribbles_per90,for_sot_per90,for_xA_per90,for_dis_per90
Rodrigo Ribeiro,augsburg,21,bundesliga,7.02,4000000,5,0,0.5,1.14,1,0.02,0.57
Uchenna Ogundu,augsburg,20,bundesliga,10.96,4000000,5,0,0.32,0.64,0.73,0.08,1.73
Yan Diomande,rb leipzig,19,bundesliga,27.51,90000000,4,1,0.26,4.29,0.95,0.37,2.25
Antonio Nusa,rb leipzig,21,bundesliga,22.61,32000000,3,1,0.19,3.01,0.88,0.23,1.72
Conrad Harder,rb leipzig,21,bundesliga,10.21,17000000,4,1,0.4,0.49,1.27,0.18,2.06
Max Moerstedt,hoffenheim,20,bundesliga,4.46,7000000,4,0,0.19,0.9,0.9,0.14,2.24
Ibrahim Maza,bayer leverkusen,20,bundesliga,20.58,45000000,4,1,0.26,2.33,0.83,0.22,1.12
Eliesse Ben Seghir,bayer leverkusen,21,bundesliga,2.73,20000000,4,1,0.05,3.29,0.73,0.34,1.46
Montrell Culbreath,bayer leverkusen,18,bundesliga,8.22,15000000,5,1,0.22,0.61,0.24,0.07,0.73
Christian Kofane,bayer leverkusen,19,bundesliga,13.72,40000000,3,1,0.5,0.51,1.38,0.08,1.31
Cyriaque Irié,sc freiburg,21,bundesliga,3.81,8000000,4,0,0.19,3.15,0.52,0.04,2.89
Jean-Mattéo Bahoya,frankfurt,21,bundesliga,14.77,25000000,3,0,0.14,2.78,0.61,0.23,1.08
Ayoube Amaimouni-Echghouyab,frankfurt,21,bundesliga,6.44,10000000,5,0,0.08,3.1,1.09,0.06,1.86
Livan Burcu,union berlin,21,bundesliga,7.17,4000000,5,0,0.23,2.09,0.42,0.16,1.67
Ilyas Ansah,union berlin,21,bundesliga,21.3,12000000,5,0,0.15,1.18,0.57,0.05,2.98
Fábio Baldé,hamburg sv,20,bundesliga,4.89,5000000,3,0,0.19,2.05,0.82,0.11,1.64
Said El Mala,fc koln,19,bundesliga,21.74,45000000,4,0,0.52,2.02,1.43,0.11,1.93
Dzenan Pejcinovic,wolfsburg,21,bundesliga,16.16,15000000,3,0,0.5,0.25,1.42,0.03,0.5
Pio Esposito,inter milan,21,serie a,17.34,45000000,4,1,0.43,0.23,1.33,0.08,1.27
Robinio Vaz,as roma,19,serie a,4.14,18000000,4,0,0.56,0.24,1.45,0.09,1.45
Assane Diao,como,20,serie a,12.04,30000000,3,0,0.22,2.24,0.83,0.1,2.16
Jayden Addai,como,20,serie a,7.64,20000000,4,0,0.2,1.83,0.78,0.16,2.22
Kenan Yildiz,juventus,21,serie a,31.53,75000000,4,1,0.26,2.47,1.27,0.31,1.74
Santiago Castro,bologna,21,serie a,26.29,32000000,4,0,0.28,0.61,0.76,0.03,1.71
Francesco Camarda,ac milan,18,serie a,7.54,15000000,2,1,0.25,0.4,0.4,0.08,0.8
Désiré Doué,psg,21,ligue 1,15.07,120000000,3,1,0.78,2.12,1.26,0.2,1.73
Ibrahim Mbaye,psg,18,ligue 1,11.08,30000000,2,1,0.38,1.74,0.58,0.34,2.32
Rayan Fofana,lens,20,ligue 1,8.73,8000000,3,0,0.64,1.49,1.37,0.02,1.72
Soriba Diaoune,lille,18,ligue 1,1.98,4000000,2,0,0.63,2.53,2.02,0.2,3.03
Matias Fernandez-Pardo,lille,21,ligue 1,26.43,35000000,3,0,0.33,1.36,1.13,0.18,1.25
Malick Fofana,lyon,21,ligue 1,8.34,30000000,2,1,0.33,0.84,1.08,0.27,0.6
Afonso Moreira,bayer leverkusen,21,bundesliga,19.08,20000000,5,1,0.14,1.26,0.73,0.32,1.83
Rémi Himbert,lyon,18,ligue 1,1.43,10000000,2,1,0.73,2.79,0.7,0.02,3.49
Endrick,real madrid,19,laliga,13.58,40000000,4,1,0.48,2.65,1.91,0.52,1.77
Gessime Yassine,strasbourg,20,ligue 1,5.66,12000000,4,0,0.15,1.77,0.18,0.24,2.12
