mid_player,mid_club,mid_age,mid_comp,mid_time_norm,mid_value_eur,mid_contract_years_left,mid_big_club,mid_recov_90,mid_int_per90,mid_dis_per90,mid_chances_created_90,mid_xA_per90
Mert Komur,augsburg,20,bundesliga,16.24,12000000,3,0,2.89,0.43,1.48,1.42,0.13
Tom Bischof,bayern munich,21,bundesliga,14.38,40000000,3,1,5.22,1.04,0.49,1.67,0.19
Lennart Karl,bayern munich,18,bundesliga,14.24,60000000,3,1,3.79,0.98,1.33,1.61,0.35
Jobe Bellingham,borussia dortmund,20,bundesliga,19.82,40000000,4,1,5.7,1.92,1.31,0.45,0.06
Samuele Inacio,borussia dortmund,18,bundesliga,4.26,15000000,3,1,4.46,0.47,1.41,1.88,0.14
Assan Ouedraogo,rb leipzig,20,bundesliga,10.6,28000000,3,1,4.91,0.28,2.08,1.32,0.18
Ezechiel Banzuzi,rb leipzig,21,bundesliga,6.42,16000000,4,1,5.61,1.25,0.93,1.25,0.06
Chema Andres,vfb stuggart,21,bundesliga,14.51,20000000,4,0,5.58,2.21,0.34,1.03,0.08
Badredine Bouanani,vfb stuggart,21,bundesliga,5.09,10000000,4,0,3.73,0.79,1.57,0.98,0.18
Can Uzun,eintract frankurt,20,bundesliga,12.93,45000000,5,0,4.33,0.15,1.93,1.55,0.31
Aljoscha Kemlein,union berlin,21,bundesliga,21.86,12000000,3,0,5.67,0.73,0.78,0.64,0.11
Wael Mohya,borussia monchengladbach,17,bundesliga,6.1,17000000,6,0,3.28,0.16,1.97,0.66,0.1
Patrice Covic,werder bremen,19,bundesliga,3.78,4000000,6,0,5.29,1.06,0.53,0.79,0.14
Niccolo Pisilli,as roma,21,serie a,14.27,30000000,3,1,5.33,1.68,1.47,0.91,0.08
Nico Paz,como,21,serie a,32.02,80000000,4,0,4.31,0.87,1.41,1.59,0.14
Lennon Miller,udinese,19,serie a,11.02,10000000,4,0,4.72,0.64,0.82,1.27,0.07
Luca Lipani,sassuolo,21,serie a,11.42,7500000,2,0,4.73,1.31,1.14,0.96,0.04
Cher Ndour,fiorentina,21,serie a,20.8,20000000,3,0,3.61,0.67,0.58,0.29,0.06
Amorim,genoa,21,serie a,18.11,8000000,4,0,5.47,0.72,1.16,0.77,0.09
Senny Mayulu,psg,20,ligue 1,18.68,40000000,1,1,4.39,0.59,1.39,2.09,0.16
Warren Zaire-Emery,psg,20,ligue 1,27.26,80000000,3,1,5.47,0.44,1.17,1.54,0.13
Joao Neves,psg,21,ligue 1,14.3,140000000,3,1,5.24,0.49,0.42,0.98,0.15
Dro Fernandez,psg,18,ligue 1,7.58,10000000,4,1,4.62,1.06,1.19,1.06,0.1
Ngalayel Mukau,lille,21,ligue 1,17.1,15000000,2,0,3.92,0.82,0.76,0.76,0.06
